1701CB01,Gery Pfeiffer,Argentina,gpfeiffer1@amazonaws.com,Male,09-10-2001,A+,Telangana
1701CB04,Shannan Downey,Indonesia,sdowney2@wikispaces.com,Male,30-09-2008,AB+,Telangana
1701CB05,Marielle Matiewe,Philippines,mmatiewe3@e-recht24.de,Female,30-08-2004,A-,Arunachal Pradesh
1701CB06,Rube Varker,Russia,rvarker4@macromedia.com,Male,27-02-2000,AB-,Manipur
1701CB07,Emilio Tallant,India,etallant5@aol.com,Male,25-08-2017,A-,Delhi
1701CB08,Ivette Brando,Finland,ibrando6@cafepress.com,Female,06-08-2002,O-,Manipur
1701CB01,Gery Pfeiffer,Argentina,gpfeiffer1@amazonaws.com,Male,09-10-2001,A+,Telangana
1701CB04,Shannan Downey,Indonesia,sdowney2@wikispaces.com,Male,30-09-2008,AB+,Telangana
1701CB05,Marielle Matiewe,Philippines,mmatiewe3@e-recht24.de,Female,30-08-2004,A-,Arunachal Pradesh
1701CB06,Rube Varker,Russia,rvarker4@macromedia.com,Male,27-02-2000,AB-,Manipur
1701CB07,Emilio Tallant,India,etallant5@aol.com,Male,25-08-2017,A-,Delhi
1701CB08,Ivette Brando,Finland,ibrando6@cafepress.com,Female,06-08-2002,O-,Manipur
